model,train_accuracy,test_accuracy,cv_mean,cv_std,overfitting,params,mean_nodes,mean_depth,mean_leaves,total_nodes,total_leaves,max_depth,n_estimator
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=81,
                    random_state=42)",1.0,0.6733333333333333,0.6857142857142857,0.011293848786315664,0.32666666666666666,"{'n_estimators': 81, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",651.1975308641976,17.641975308641975,326.0987654320988,52747,26414,18,81
"RandomForestOverfit(max_depth=18, max_features=2, n_estimators=91,
                    random_state=42)",1.0,0.6733333333333333,0.6921428571428571,0.015875793407780628,0.32666666666666666,"{'n_estimators': 91, 'max_depth': 18, 'max_features': 2, 'bootstrap': True}",651.3076923076923,17.604395604395606,326.15384615384613,59269,29680,18,91
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=1,
                    random_state=42)",0.81,0.475,0.4742857142857143,0.04228185310556782,0.3350000000000001,"{'n_estimators': 1, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",627.0,20.0,314.0,627,314,20,1
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=11,
                    random_state=42)",0.9942857142857143,0.6133333333333333,0.6007142857142858,0.0238404560975409,0.38095238095238104,"{'n_estimators': 11, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",653.3636363636364,18.818181818181817,327.1818181818182,7187,3599,20,11
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=21,
                    random_state=42)",0.9971428571428571,0.6483333333333333,0.6407142857142857,0.018013600304169295,0.3488095238095238,"{'n_estimators': 21, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",655.3809523809524,19.047619047619047,328.1904761904762,13763,6892,20,21
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=31,
                    random_state=42)",1.0,0.6383333333333333,0.66,0.015219482680473219,0.3616666666666667,"{'n_estimators': 31, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",656.8709677419355,18.967741935483872,328.93548387096774,20363,10197,20,31
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=41,
                    random_state=42)",1.0,0.6583333333333333,0.6649999999999999,0.016506028583273363,0.3416666666666667,"{'n_estimators': 41, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",658.0243902439024,18.78048780487805,329.5121951219512,26979,13510,20,41
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=51,
                    random_state=42)",1.0,0.67,0.675,0.021428571428571432,0.32999999999999996,"{'n_estimators': 51, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",659.6666666666666,18.84313725490196,330.3333333333333,33643,16847,20,51
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=61,
                    random_state=42)",1.0,0.6816666666666666,0.6785714285714286,0.0170533376947333,0.31833333333333336,"{'n_estimators': 61, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",657.2622950819672,18.721311475409838,329.1311475409836,40093,20077,20,61
"RandomForestOverfit(max_depth=20, max_features=2, n_estimators=71,
                    random_state=42)",1.0,0.6766666666666666,0.6792857142857144,0.014708043058552858,0.32333333333333336,"{'n_estimators': 71, 'max_depth': 20, 'max_features': 2, 'bootstrap': True}",656.9154929577464,18.746478873239436,328.9577464788732,46641,23356,20,71
